Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name
2023 BMW M2 Base,Used,"2,496 mi.","$63,000","Est. $1,184/mo",Murgado Ford of Chicago
2020 Dodge Charger SXT,Used,"98,302 mi.","$14,995",Est. $282/mo,Blue Sky Auto Sales - Brighton Park
2016 Scion iM Base,Used,"72,040 mi.","$12,690",Est. $239/mo,Mcgrath Evanston Subaru
2022 Volvo XC60 Recharge Plug-In Hybrid T8 Inscription,Used,"31,580 mi.","$38,998",Est. $733/mo,CarMax Birmingham
2012 Mitsubishi Lancer SE,Used,"54,197 mi.","$9,995",Est. $188/mo,Moto Zone Inc.
2023 Chevrolet Bolt EUV FWD LT,Used,"19,045 mi.","$18,995",Est. $357/mo,Luxury Motors Credit
1984 BMW 733 733i,Used,"139,186 mi.","$17,985",Est. $338/mo,Chicago Cars US
2017 Toyota Highlander XLE,Used,"84,581 mi.","$23,998",Est. $451/mo,CarMax Charleston
2021 Lexus ES 250 250,Used,"25,336 mi.","$29,708",Est. $558/mo,The Autobarn Volkswagen of Countryside
2025 Chevrolet Trailblazer LT,New,,"$27,970",Est. $526/mo,Jennings Chevy / VW
2017 Lexus GS 350 F Sport,Used,"44,156 mi.","$30,888",Est. $581/mo,Chicago Auto Place
2020 Lincoln Continental Reserve,Used,"48,625 mi.","$31,395",Est. $590/mo,Napleton Autowerks River Oaks
2021 Lexus ES 250 250,Used,"13,860 mi.","$33,995",Est. $639/mo,Lombard Toyota
2014 Cadillac CTS-V Base,Used,"12,664 mi.","$52,995",Est. $996/mo,D&M Motorsports
2020 Lexus RC 350 F Sport,Used,"30,200 mi.","$36,700",Est. $690/mo,Volvo Cars Lisle
2011 Audi TTS 2.0T Premium Plus,Used,"34,316 mi.","$22,995",Est. $432/mo,Auto Showcase of Carol Stream
2021 BMW M2 Competition,Used,"37,060 mi.","$48,849",Est. $918/mo,Gravity Autos Chicago
1997 Ferrari F355 Spider,Used,"27,096 mi.","$92,800","Est. $1,744/mo",Diamond Motorworks
2021 Lexus RX 350L Base,Used,"26,094 mi.","$38,505",Est. $724/mo,Muller's Woodfield Acura
1999 Toyota Celica SS3 5 SPEED MANUAL,Used,"84,529 mi.","$15,990",Est. $301/mo,Car City Inc
2009 INFINITI FX50 FX50 AWD,Used,"154,947 mi.","$11,990",Est. $225/mo,Car City Inc
2022 Audi e-tron GT Premium Plus,Used,"7,029 mi.","$53,569","Est. $1,007/mo",Alfa Romeo of Naperville
2021 Lexus LS 500 F Sport,Prequalify now,"105,213 mi.","$40,995",Est. $771/mo,Baha Auto Sales
2020 Audi A3 2.0T Premium,Used,"48,880 mi.","$21,850",Est. $411/mo,Sherman Dodge Chrysler Jeep RAM
2024 Ford Bronco Sport Free Wheeling,New,,"$37,270",Est. $701/mo,Al Piemonte Ford
2020 Genesis G70,Used,"54,213 mi.","$22,998",Est. $432/mo,CarMax Austin South
2006 Jeep Commander Base,Used,"136,973 mi.","$5,000",Est. $94/mo,Advantage Chevrolet of Bridgeview
2019 Ford EcoSport SE,Used,"70,726 mi.","$15,998",Est. $301/mo,CarMax Oak Lawn
2023 Cadillac XT4 Luxury,Used,"18,709 mi.","$29,998",Est. $564/mo,CarMax Jacksonville
2024 Ford Transit-250 148 WB Medium Roof Cargo,New,,"$47,699",Est. $897/mo,Bredemann Ford
2024 Ford Transit-250 Base,New,,"$52,399",Est. $985/mo,Bredemann Ford
2024 Ford Ranger XLT,New,,"$44,599",Est. $838/mo,Bredemann Ford
2012 Land Rover LR2 AWD 4dr HSE,Used,"110,658 mi.","$7,750",Est. $146/mo,Revved Motors
2022 Porsche 718 Cayman GT4,Used,"14,788 mi.","$137,500","Est. $2,585/mo",Napleton Aston Martin Maserati
2025 Kia Carnival Hybrid EX,New,,"$43,873",Est. $825/mo,Napleton River Oaks Hyundai Kia
2014 Nissan Murano CrossCabriolet Base,Used,"76,400 mi.","$11,990",Est. $225/mo,Auto House Motors
2024 Mercedes-Benz EQB 350 4MATIC,New,,"$63,115","Est. $1,186/mo",Mercedes-Benz of Orland Park
2024 Ford Transit-250 Base,New,,"$44,966",Est. $845/mo,Ford of Homewood
2021 Volkswagen Arteon 2.0T SEL Premium R-Line 4MOTION,Volkswagen Certified,"43,284 mi.","$26,490",Est. $498/mo,Castle Volkswagen of Schaumburg
2011 BMW 1 Series M Base,Used,"44,856 mi.","$62,998","Est. $1,184/mo",Blackdog Performance Cars
2021 Toyota C-HR LE,Used,"54,501 mi.","$20,000",Est. $376/mo,Woody Buick GMC Naperville
2017 Chevrolet Silverado 1500 LTZ,Used,"83,666 mi.","$26,990",Est. $507/mo,Shaver Preferred Motors
2023 Chevrolet Traverse LT Cloth,Used,"67,861 mi.","$24,000",Est. $451/mo,Kingdom Chevrolet
2024 Hyundai Elantra SEL,New,,"$20,500",Est. $385/mo,McGrath City Hyundai
2007 Volkswagen Eos 2.0T,Used,"64,274 mi.","$8,495",Est. $160/mo,Moto Zone Inc.
2024 Acura ZDX A-Spec,Used,"6,598 mi.","$45,998",Est. $865/mo,CarMax Columbus
2025 Chevrolet Equinox 1LT,New,,"$34,766",Est. $653/mo,Advantage Chevrolet of Bridgeview
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,"$43,296",Est. $814/mo,The Autobarn Volkswagen of Countryside
2025 Volkswagen Atlas Cross Sport 2.0T SEL R-Line Black,New,,"$48,449",Est. $911/mo,The Autobarn Volkswagen of Countryside
2024 Volkswagen Atlas Cross Sport 2.0T SEL R-Line,New,,"$44,566",Est. $838/mo,The Autobarn Volkswagen of Countryside
2024 Volkswagen Atlas Cross Sport 2.0T SEL R-Line,New,,"$44,421",Est. $835/mo,The Autobarn Volkswagen of Countryside
2013 INFINITI G37 X,Used,"83,771 mi.","$16,998",Est. $319/mo,CarMax Garland
2025 Hyundai Elantra SEL,New,,"$27,069",Est. $509/mo,AutoNation Hyundai O'Hare
2025 Hyundai Santa Fe XRT,New,,"$41,889",Est. $787/mo,AutoNation Hyundai O'Hare
2025 Hyundai Santa Fe Limited,New,,"$47,386",Est. $891/mo,AutoNation Hyundai O'Hare
2022 BMW X2 xDrive28i,Used,"27,145 mi.","$27,491",Est. $517/mo,Laurel BMW of Westmont
2006 Mercedes-Benz SLK-Class SLK280 Roadster,Used,"79,209 mi.","$10,985",Est. $206/mo,Star Auto Works
2022 Jeep Compass Limited,Used,"18,237 mi.","$22,911",Est. $431/mo,Zeigler Chrysler Dodge Jeep Ram of Downers Grove
2025 Subaru Crosstrek Limited,New,,"$35,790",Est. $673/mo,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars"
2025 Chevrolet Equinox 1LT,New,,"$33,725",Est. $634/mo,Tasca Chevrolet Wheeling
2024 Audi Q3 S line Premium,Audi Certified,"4,634 mi.","$36,595",Est. $688/mo,The Audi Exchange
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$68,577","Est. $1,289/mo",Mercedes-Benz of Hoffman Estates
2024 Ford Bronco Big Bend,New,,"$49,200",Est. $925/mo,Sutton Ford
2001 Toyota 4Runner Limited,Used,"244,277 mi.","$9,896",Est. $186/mo,Windy City Motors
2023 Volkswagen Atlas Cross Sport SE w/Tech,Used,"18,744 mi.","$32,998",Est. $620/mo,CarMax Hillside (Eisenhower Expy)
2015 BMW M235 2dr Conv M235i,Used,"86,959 mi.","$17,990",Est. $338/mo,Auto Gallery Chicago
2019 Lexus RX 350,Used,"110,120 mi.","$26,998",Est. $507/mo,CarMax Myrtle Beach
2023 Nissan Altima S,Used,"33,610 mi.","$21,998",Est. $413/mo,CarMax Southwest Freeway
2023 Cadillac XT5 Premium Luxury,Used,"39,873 mi.","$31,447",Est. $591/mo,Zeigler Nissan of Orland Park
2025 Subaru Crosstrek Premium,New,,"$29,358",Est. $552/mo,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars"
2025 Genesis GV70 2.5T,New,,"$48,460",Est. $911/mo,Genesis of Schaumburg
2024 Ford Bronco Badlands,New,,"$56,290","Est. $1,058/mo",Webb Ford
2024 Ford Bronco Badlands,New,,"$56,549","Est. $1,063/mo",Webb Ford
2024 Ford Bronco Wildtrak,New,,"$65,290","Est. $1,227/mo",Webb Ford
